points,keys,factor,offset
outdoor_air_temperature,building.weaBus.TDryBul,1,-273.15
zone_air_temperature_zone_1,zon1.TAir,1,-273.15
zone_air_temperature_zone_2,zon2.TAir,1,-273.15
zone_air_temperature_zone_3,zon3.TAir,1,-273.15
zone_air_temperature_zone_4,zon4.TAir,1,-273.15
zone_air_temperature_zone_5,zon5.TAir,1,-273.15
zone_air_temperature_zone_6,zon6.TAir,1,-273.15
zone_air_temperature_zone_7,zon7.TAir,1,-273.15
zone_air_temperature_zone_8,zon8.TAir,1,-273.15
zone_air_temperature_zone_9,zon9.TAir,1,-273.15
zone_air_temperature_zone_10,zon10.TAir,1,-273.15
zone_air_temperature_zone_11,zon11.TAir,1,-273.15
zone_air_temperature_zone_12,zon12.TAir,1,-273.15
zone_air_temperature_zone_13,zon13.TAir,1,-273.15
zone_air_temperature_zone_14,zon14.TAir,1,-273.15
zone_air_temperature_zone_15,zon15.TAir,1,-273.15
zone_air_temperature_zone_16,zon16.TAir,1,-273.15
zone_air_temperature_zone_17,zon17.TAir,1,-273.15
zone_air_temperature_zone_18,zon18.TAir,1,-273.15
zone_air_temperature_zone_19,zon19.TAir,1,-273.15
zone_air_temperature_zone_20,zon20.TAir,1,-273.15
thermal_load_zone_1,trc_custom_air_conditioner1.hea.Q_flow,1,0
thermal_load_zone_2,trc_custom_air_conditioner2.hea.Q_flow,1,0
thermal_load_zone_3,trc_custom_air_conditioner3.hea.Q_flow,1,0
thermal_load_zone_4,trc_custom_air_conditioner4.hea.Q_flow,1,0
thermal_load_zone_5,trc_custom_air_conditioner5.hea.Q_flow,1,0
thermal_load_zone_6,trc_custom_air_conditioner6.hea.Q_flow,1,0
thermal_load_zone_7,trc_custom_air_conditioner7.hea.Q_flow,1,0
thermal_load_zone_8,trc_custom_air_conditioner8.hea.Q_flow,1,0
thermal_load_zone_9,trc_custom_air_conditioner9.hea.Q_flow,1,0
thermal_load_zone_10,trc_custom_air_conditioner10.hea.Q_flow,1,0
thermal_load_zone_11,trc_custom_air_conditioner11.hea.Q_flow,1,0
thermal_load_zone_12,trc_custom_air_conditioner12.hea.Q_flow,1,0
thermal_load_zone_13,trc_custom_air_conditioner13.hea.Q_flow,1,0
thermal_load_zone_14,trc_custom_air_conditioner14.hea.Q_flow,1,0
